,Respondent,Geographic Areas,State,Number of Customers Affected,Outage Start,Outage End
667,Tacoma Power (TPWR),"Fredrickson Substation, Washington",WA ,,2011-06-08 12:58:00,2011-06-08 12:58:00
668,American Electric Power,Ohio,OH ,52747.0,2011-06-07 14:00:00,2011-06-08 06:00:00
669,West Memphis Utilities,"Eastern, Arkansas",AR ,13000.0,2011-06-06 15:00:00,2011-06-08 15:00:00
670,El Paso Electric Company,"El Paso County, Texas; Dona Ana County, New Mexico",NM TX ,162000.0,2011-06-06 00:13:00,2011-06-06 03:15:00
671,Pacific Gas and Electric,"Melones, California",CA ,5314.0,2011-06-05 20:02:00,2011-06-05 20:55:00
672,CenterPoint Energy,"Houston Metro-Area, Texas",TX TX ,78000.0,2011-06-05 05:30:00,2011-06-06 01:30:00
673,Pacific Gas and Electric,"Midway, California",CA ,420.0,2011-06-04 01:17:00,2011-06-04 03:25:00
674,South Carolina Electric and Gas,"Greater Columbia, South Carolina",SC ,50465.0,2011-06-02 23:45:00,2011-06-04 16:00:00
675,Consumers Energy,"Mid and Southern Lower Peninsula, Michigan",MI ,113000.0,2011-05-29 18:30:00,2011-05-31 22:00:00
676,PPL Electric Utilities,Central Pennsylvania,PA ,120001.0,2011-05-26 19:56:00,2011-05-27 18:00:00
677,Greenwood Utilities Commission,"Greenwood, Mississippi",MS ,10000.0,2011-05-26 01:00:00,2011-05-26 06:00:00
678,Southern Company,"Southern Balancing Area, Georgia",GA ,218783.0,2011-05-26 18:30:00,2011-05-28 04:44:00
679,Duke Energy Midwest,Central Indiana,IN ,141000.0,2011-05-25 22:14:00,2011-05-28 11:00:00
680,Oklahoma Gas & Electric,Central Oklahoma,OK ,54000.0,2011-05-24 16:45:00,2011-05-26 17:00:00
681,Dominion Virginia Power,Eastern Virginia,VA ,175000.0,2011-05-24 16:35:00,2011-05-25 12:40:00
682,Edison Mission Generation (Fisk Station),"Chicago, Illinois",IL ,0.0,2011-05-24 09:00:00,2011-05-25 09:10:00
683,Duke Energy Midwest,"Central, Indiana",IN ,215387.0,2011-05-23 16:45:00,2011-05-25 23:59:00
684,Ameren,"St. Louis County, Missouri",MO ,70000.0,2011-05-23 12:30:00,2011-05-25 12:30:00
685,Empire District Electric,"Joplin, Sarcoxie, and Wentworth, Missouri",MO ,20000.0,2011-05-22 17:09:00,2011-05-31 12:01:00
686,"Terra-Gen Dixie Valley, LLC","Dixie Valley Area, Nevada",NV ,,2011-05-21 17:00:00,2011-05-22 18:34:00
687,PacifiCorp,"Salt Lake, Utah",UT ,0.0,2011-05-13 06:00:00,2011-05-13 06:00:00
688,Duke Energy Carolinas,"Charlotte, North Carolina",NC ,71000.0,2011-05-11 00:15:00,2011-05-11 17:20:00
689,Minnesota Power,"Colbyville, Haines Road and Arrowhead Substations, Minnesota",MN ,0.0,2011-05-11 15:55:00,2011-05-12 13:57:00
690,PacifiCorp,"Green River, Wyoming",WY ,0.0,2011-05-11 13:35:00,2011-05-11 13:35:00
691,Central Hudson Gas & Electric Corp.,"North Chelsea Substation, New York",NY ,0.0,2011-05-11 11:00:00,2011-05-11 11:30:00
692,ISO New England,New Hampshire,NH ,0.0,2011-05-10 13:45:00,2011-05-10 15:00:00
693,American Electric Power,"Kentucky, West Virginia",KY WV ,58000.0,2011-05-10 22:21:00,2011-05-11 14:25:00
694,Midwest Independent System Operator (MISO),"Upper Peninsula, Michigan",MI ,78213.0,2011-05-10 03:25:00,2011-05-11 14:10:00
695,Public Service of New Hampshire,"Milton, New Hampshire",NH ,0.0,2011-05-09 13:11:00,2011-05-09 13:11:00
696,"Exelon Generation Company, LLC","Holtwood, Pennsylvania",PA ,,2011-05-09 04:08:00,2011-05-09 06:40:00
697,"Castleton Power, LLC",New York,NY ,0.0,2011-05-08 19:35:00,2011-05-08 19:35:00
698,PacifiCorp,"Alderwood Substation, Portland, Oregon",OR ,0.0,2011-05-06 06:56:00,2011-05-06 10:30:00
699,ISO New England,New Hampshire,NH ,0.0,2011-05-05 09:15:00,2011-05-05 09:15:00
700,"ITC Holdings, Inc.",Michigan,MI ,0.0,2011-05-04 12:20:00,2011-05-04 15:40:00
701,FirstEnergy Generation,Maryland,MD ,0.0,2011-05-04 13:08:00,2011-05-04 13:25:00
702,New York Power Authority,"St. Lawrence Power Dam, New York",NY ,0.0,2011-05-03 12:00:00,2011-05-05 12:00:00
703,Hawaiian Electric Company,Hawaii,HI ,62000.0,2011-05-02 17:06:00,2011-05-02 20:00:00
704,The United Illuminating Company,"West River Substation, New Haven, Connecticut",CT ,0.0,2011-05-02 14:00:00,2011-05-02 14:00:00
705,PacifiCorp,"N. Ogden Substation, Ogden, Utah",UT ,0.0,2011-05-02 08:52:00,2011-05-02 10:46:00
706,FirstEnergy Service Company,"Cleveland area, Ohio",OH OH ,86000.0,2011-04-28 05:00:00,2011-04-30 18:30:00
