,Respondent,Geographic Areas,State,Number of Customers Affected,Outage Start,Outage End
295,City of Washington - (NC),North Carolina,NC ,12000.0,2012-12-31 14:21:00,2012-12-31 16:30:00
296,Town of Stantonsburg - (NC),"Stantonsburg, North Carolina",NC ,1200.0,2012-12-26 14:50:00,2012-12-26 19:40:00
297,CenterPoint Energy,"Houston, Texas",TX TX ,262000.0,2012-12-25 09:28:00,2012-12-26 16:28:00
298,Entergy,Arkansas; Louisiana; Mississippi; Texas,AR LA MS TX ,242509.0,2012-12-25 00:45:00,2012-12-28 16:15:00
299,Tacoma Power (TPWR),"Tacoma, Washington",WA ,0.0,2012-12-17 06:55:00,2012-12-17 07:00:00
300,California Department of Water Resources,"Greater San Jose, California",CA CA ,,2012-12-06 21:18:00,2012-12-06 21:31:00
301,Tacoma Power (TPWR),"Tacoma, Washington",WA ,0.0,2012-12-03 12:02:00,2012-12-03 12:30:00
302,Pacific Gas & Electric Co,Northern California,CA ,125000.0,2012-12-02 05:20:00,2012-12-04 09:00:00
303,ISO New England,New Hampshire,NH ,0.0,2012-11-27 13:07:00,2012-11-27 13:40:00
304,Delmarva Power & Light Company,"Georgetown, Delaware",DE ,,2012-11-26 15:07:00,2012-11-26 15:08:00
305,Delmarva Power & Light Company,"Frankfort, Delaware",DE ,0.0,2012-11-26 12:37:00,2012-11-26 12:38:00
306,Delmarva Power & Light Company,"Bethany Beach, Delaware",DE ,,2012-11-21 14:50:00,2012-11-21 14:51:00
307,ERCOT,"Comanche Peak, Texas",TX ,0.0,2012-11-17 10:00:00,2012-11-18 10:00:00
308,ITC Transmission,Iowa; Michigan,IA MI ,,2012-11-15 21:09:00,2012-11-15 21:26:00
309,ISO New England,Southeast Massachusetts,MA ,0.0,2012-11-15 05:38:00,2012-11-15 05:39:00
310,Delmarva Power & Light Company,"Bishopville, Maryland",MD ,0.0,2012-11-08 09:34:00,2012-11-08 09:35:00
311,ISO New England,New Hampshire,NH ,0.0,2012-11-07 14:21:00,2012-11-07 14:48:00
312,ISO New England,"Concord, Vermont",VT ,0.0,2012-11-02 09:30:00,2012-11-02 12:10:00
313,Detroit Edison Co,Greater Detroit Michigan,MI MI ,133777.0,2012-10-30 02:00:00,2012-11-01 22:00:00
314,Black Hills/Colorado Elec.Util,"Pueblo, Colorado",CO ,,2012-10-30 15:00:00,2012-10-30 15:01:00
315,ISO New England,"Fitzwilliam, New Hampshire",NH ,0.0,2012-10-30 13:20:00,2012-10-30 13:25:00
316,Potomac Electric Power Company (PEPCO),"Hyattsville, Maryland",MD ,0.0,2012-10-30 00:00:00,2012-10-30 00:02:00
317,FirstEnergy Corp: Mon Power Company,West Virginia,WV ,208000.0,2012-10-29 00:00:00,2012-11-09 23:59:00
318,FirstEnergy Corp: CEI,Greater Cleveland Ohio,OH OH ,346000.0,2012-10-29 16:00:00,2012-11-05 23:59:00
319,FirstEnergy Corp: Met-Ed,Eastern Pennsylvania,PA ,270000.0,2012-10-29 16:00:00,2012-11-07 23:48:00
320,FirstEnergy Corp: Jersey Central Power & Light,New Jersey,NJ ,217000.0,2012-10-29 12:00:00,2012-11-04 23:00:00
321,Atlantic City Electric Co,New Jersey,NJ ,,2012-10-29 08:00:00,2012-11-04 23:00:00
322,PPL Electric Utilities Corp,Central Pennsylvania,PA ,400000.0,2012-10-29 18:11:00,2012-11-04 22:50:00
323,ISO New England/CONVEX,"Connecticut, Western Massachusetts",CT MA ,649075.0,2012-10-29 15:15:00,2012-11-04 20:00:00
324,Dominion Virginia Power,Virginia,VA ,156000.0,2012-10-29 18:12:00,2012-10-30 19:35:00
325,Consolidated Edison Co-NY Inc,"Greater New York City, New York",NY ,818000.0,2012-10-29 16:01:00,2012-11-08 19:00:00
326,ISO New England obo NSTAR,"Boston, Southeast Massachusetts",MA ,50000.0,2012-10-29 14:40:00,2012-10-30 18:16:00
327,Delmarva Power & Light Company,"Delaware, Maryland",DE MD ,70000.0,2012-10-29 09:00:00,2012-11-02 18:00:00
328,FirstEnergy Corp: Potomac Edison,Maryland; West Virginia,MD WV ,150000.0,2012-10-29 16:00:00,2012-11-08 17:08:00
329,ISO New England,Southeast and Seacoast Maine,ME ,50000.0,2012-10-29 19:15:00,2012-10-30 15:02:00
330,Nevada Power Company d/b/a NV Energy,"Las Vegas, Nevada",NV ,,2012-10-29 15:00:00,2012-10-29 15:01:00
331,Long Island Power Authority (LIPA),"Long Island, New York",NY NY ,632816.0,2012-10-29 13:00:00,2012-11-12 14:00:00
332,PSE&G,New Jersey,NJ ,50000.0,2012-10-29 16:03:00,2012-11-06 12:00:00
333,Iberdrola USA (NYSEG),New York,NY ,371000.0,2012-10-29 18:48:00,2012-11-04 11:36:00
334,Baltimore Gas & Electric Company,Greater Baltimore Maryland,MD ,219000.0,2012-10-29 17:13:00,2012-10-31 11:00:00
335,ISO New England/PSNH,New Hampshire,NH ,50000.0,2012-10-29 16:45:00,2012-10-31 11:00:00
336,"Orange and Rockland Utilities, Inc.",Southeast New York; New Jersey,NJ NY ,200000.0,2012-10-29 18:46:00,2012-11-03 10:45:00
337,City of Tacoma (TPWR),"LaGrande, Washington",WA ,0.0,2012-10-29 09:00:00,2012-10-29 09:01:00
338,American Electric Power,Indiana; Kentucky; Michigan; Ohio,IN KY MI OH ,173273.0,2012-10-29 19:00:00,2012-11-02 05:00:00
339,ISO New England/REMVEC,Eastern Massachusetts,MA ,50000.0,2012-10-29 14:45:00,2012-11-01 01:30:00
340,Exelon Corporation/PECO,Greater Philadelphia Pennsylvania,PA ,850000.0,2012-10-29 17:30:00,2012-11-06 00:00:00
341,Delmarva Power & Light Company,"Newark, Delaware",DE ,0.0,2012-10-25 18:51:00,2012-10-25 19:30:00
342,Black Hills/Colorado Elec.Util,"Pueblo, Colorado",CO ,0.0,2012-10-25 14:39:00,2012-10-25 18:00:00
343,Potomac Electric Power Company (PEPCO),"West Lanham, Maryland",MD ,,2012-10-25 00:00:00,2012-10-25 00:01:00
344,Delmarva Power & Light Company,"Frankford, Delaware",DE ,0.0,2012-10-24 15:15:00,2012-10-24 15:16:00
345,Potomac Electric Power Company (PEPCO),"Kingswood, Maryland",MD ,0.0,2012-10-24 00:00:00,2012-10-24 00:01:00
346,Potomac Electric Power Company (PEPCO),"Brighton, Maryland",MD ,0.0,2012-10-24 00:00:00,2012-10-24 00:01:00
347,"Crawfordsville Electric, Light & Power","Crawfordsville, Indiana",IN ,9800.0,2012-10-23 09:10:00,2012-10-23 09:16:00
348,Potomac Electric Power Company (PEPCO),"Norbeck, Maryland",MD ,0.0,2012-10-22 00:00:00,2012-10-22 00:01:00
349,ISO New England,Southeast Vermont,VT ,0.0,2012-10-15 14:15:00,2012-10-15 14:16:00
350,Pacific Gas & Electric Co,Northern California,CA ,2035.0,2012-10-14 10:36:00,2012-10-14 10:50:00
351,Potomac Electric Power Company (PEPCO),"Seat Pleasant, Maryland",MD ,0.0,2012-10-11 00:00:00,2012-10-11 00:01:00
352,Potomac Electric Power Company (PEPCO),"Seat Pleasant, Maryland",MD ,0.0,2012-10-09 00:00:00,2012-10-09 00:01:00
353,Western Area Power Authority - Sierra Nevada Region,"Greater Sacramento, California",CA CA ,,2012-10-05 17:30:00,2012-10-05 17:50:00
354,Puerto Rico Electric Power Authority (PREPA),Puerto Rico,PR PR ,371526.0,2012-09-26 21:16:00,2012-09-26 22:18:00
355,PEPCO (Potomac Electric Power Company),"Brighton, Maryland",MD ,0.0,2012-09-24 00:00:00,2012-09-25 00:00:00
356,Dominion Virginia Power,Virginia,VA ,119000.0,2012-09-08 15:53:00,2012-09-09 19:46:00
357,PEPCO (Potomac Electric Power Company),"Prince George's County, Montgomery County Maryland; D.C.",MD ,65000.0,2012-09-08 15:40:00,2012-09-08 18:45:00
358,Entergy Corp,Arkansas,AR ,64951.0,2012-09-07 21:30:00,2012-09-08 01:00:00
360,Dixie Electric Membership Corp,Louisiana,LA ,68018.0,2012-08-29 06:53:00,2012-08-30 14:00:00
361,Cleco Power LLC,Louisiana,LA ,95000.0,2012-08-29 09:48:00,2012-08-31 12:55:00
362,Louisiana Generating LLC,Louisiana,LA ,50000.0,2012-08-29 09:00:00,2012-08-31 12:00:00
363,Entergy,"Arkansas, Louisiana, Mississippi",AR LA MS ,770000.0,2012-08-28 06:00:00,2012-09-04 08:00:00
364,Florida Power & Light,Florida,FL FL ,440000.0,2012-08-26 22:04:00,2012-08-27 02:04:00
365,El Paso Electric Co,"El Paso, Texas",TX ,3314.0,2012-08-19 08:42:00,2012-08-19 12:08:00
366,Northern Indiana Public Service Company,Northern Indiana,IN ,0.0,2012-08-16 13:13:00,2012-08-16 13:13:00
367,WECC Reliability Coordinator,CFE (Mexico & U.S.),,,2012-08-13 15:52:00,2012-08-13 19:44:00
368,Tennessee Valley Authority,"Knoxville, Tennessee",TN ,,2012-08-13 13:15:00,2012-08-13 13:15:00
369,"City of Tacoma, TPWR","Tacoma, Washington",WA ,,2012-08-11 12:45:00,2012-08-11 17:00:00
370,Exelon Corporation/ComEd,Northeast Illinois,IL ,325000.0,2012-08-04 17:30:00,2012-08-05 12:10:00
371,Northern Indiana Public Service Company,Northern Indiana,IN ,61413.0,2012-08-04 04:00:00,2012-08-04 07:20:00
372,Pacific Gas & Electric Co,"Temblor Substation in McKittrick, California",CA ,127.0,2012-08-04 03:55:00,2012-08-04 04:21:00
373,Oklahoma Gas & Electric Co,"Oklahoma, Arkansas",AR OK ,,2012-08-01 12:00:00,2012-08-01 12:00:00
374,Duke Energy Midwest,Central Indiana,IN ,52702.0,2012-07-27 17:19:00,2012-07-28 17:19:00
375,PPL Electric Utilities Corp,North/Central Pennsylvania,PA ,65000.0,2012-07-26 18:21:00,2012-07-28 23:30:00
376,FirstEnergy Corp.: Pennsylvania Electric Company,Western Pennsylvania,PA ,65112.0,2012-07-26 18:14:00,2012-07-27 18:14:00
377,American Electric Power (AEP),Eastern Ohio,OH ,57054.0,2012-07-26 18:30:00,2012-07-27 17:22:00
378,Exelon Corporation/ComEd,Northern Illinois,IL ,330000.0,2012-07-24 07:30:00,2012-07-24 22:00:00
379,Northern Indiana Public Service Company,Northern Indiana,IN ,82621.0,2012-07-24 07:01:00,2012-07-24 16:30:00
380,Lubbock Power and Light,"City of Lubbock, Texas",TX ,70000.0,2012-07-21 02:19:00,2012-07-21 05:20:00
381,Delmarva Power & Light Company,"Newark, Delaware",DE ,,2012-07-19 12:32:00,2012-07-19 12:33:00
382,Somerset Operating Company,"Niagara County, New York",NY ,,2012-07-19 10:30:00,2012-07-31 11:00:00
383,Duke Energy Midwest,"Southeast Ohio, Northern Kentucky, Southern Indiana",IN KY OH ,103000.0,2012-07-18 14:16:00,2012-07-19 23:58:00
384,American Electric Power (AEP),Eastern Ohio,OH ,67000.0,2012-07-18 16:20:00,2012-07-18 19:05:00
385,Exelon Corporation/ComEd,Northern Illinois,IL ,181000.0,2012-07-18 23:00:00,2012-07-19 06:00:00
386,North Little Rock Electric Department,"Little Rock, Arkansas",AR ,,2012-07-16 11:27:00,2012-07-16 12:29:00
387,PPL Electric Utilities Corp,"Lower Valley, Central, Susquehanna Regions Pennsylvania",PA ,64500.0,2012-07-07 06:06:00,2012-07-09 23:00:00
388,FirstEnergy Corp. Jersey Central Power & Light,Central and Northern New Jersey,NJ ,95400.0,2012-07-07 18:00:00,2012-07-09 19:01:00
389,California Department of Water Resources,CAISO California,CA CA CA ,0.0,2012-07-07 04:00:00,2012-07-10 04:00:00
390,City of Tacoma - TPWR,"Tacoma, Washington",WA ,,2012-07-06 15:05:00,2012-07-06 15:06:00
391,Consumers Energy,Lower Peninsula Michigan,MI ,111000.0,2012-07-05 00:00:00,2012-07-06 20:30:00
392,Tennessee Valley Authority (TVA),Northeast Tennessee,TN ,50001.0,2012-07-05 19:00:00,2012-07-06 16:00:00
393,North Carolina Municipal Power Agency #1,"Tarboro, North Carolina",NC ,6100.0,2012-07-01 16:47:00,2012-07-01 23:00:00
394,"Progress Energy, Carolinas","Northern, Central and Eastern North Carolina",NC ,69106.0,2012-07-01 17:45:00,2012-07-01 22:15:00
395,Exelon Corporation/ComEd,Illinois,IL ,320000.0,2012-07-01 13:00:00,2012-07-03 15:00:00
396,Atlantic City Electric,Atlantic City Electric Service Territory New Jersey,NJ ,205000.0,2012-06-30 01:15:00,2012-07-07 17:33:00
397,Tennessee Valley Authority (TVA),Northeast Tennessee,TN ,,2012-06-30 15:00:00,2012-07-02 12:00:00
398,"Southern Maryland Electric Cooperative, Inc.","Calvert, Charles, St. Mary's, Prince Georges Counties Maryland",MD ,60000.0,2012-06-30 22:30:00,2012-07-02 08:11:00
399,Delmarva Power & Light Company,Delaware; Maryland,DE MD ,86390.0,2012-06-30 01:00:00,2012-07-03 01:00:00
400,Duke Energy Midwest,Eastern Indiana; Northern Kentucky; Greater Cincinnati area Ohio,IN KY OH ,4645572.0,2012-06-29 17:15:00,2012-07-02 23:59:00
401,Entergy,"Eastern, Arkansas",AR ,7935.0,2012-06-29 16:00:00,2012-06-29 21:00:00
402,FirstEnergy (Potomac Edison),Maryland; West Virginia,MD WV ,145000.0,2012-06-29 19:00:00,2012-07-07 19:43:00
403,Dayton Power & Light,"Dayton, Ohio",OH ,175000.0,2012-06-29 14:10:00,2012-07-04 18:00:00
404,Puerto Rico Electric Power Authority (PREPA),Puerto Rico,PR PR ,900000.0,2012-06-29 12:10:00,2012-06-29 17:02:00
405,American Electric Power (AEP),Indiana; Michigan; Ohio; West Virginia,IN MI OH WV ,1355919.0,2012-06-29 16:00:00,2012-07-02 16:00:00
406,Dominion,Virginia,VA ,880000.0,2012-06-29 22:29:00,2012-07-04 15:36:00
407,Pepco,"Montgomery and Prince Georges Counties, Maryland; District of Columbia",MD ,425000.0,2012-06-29 22:15:00,2012-07-05 12:52:00
408,Baltimore Gas & Electric Company (BGE),"Greater Baltimore area, Maryland",MD ,600000.0,2012-06-29 22:43:00,2012-07-05 11:50:00
409,Delmarva Power & Light Company,"New Castle, Delaware",DE ,0.0,2012-06-29 10:45:00,2012-06-29 10:45:00
410,FirstEnergy (Mon Power),West Virginia,WV ,265000.0,2012-06-29 18:24:00,2012-07-06 10:00:00
411,Exelon Corporation/ComEd,Northeast Illinois,IL ,109000.0,2012-06-29 23:30:00,2012-06-30 02:00:00
412,Dominion,Central Virginia,VA ,190000.0,2012-06-25 16:04:00,2012-06-26 13:45:00
413,ISO New England,"North Shore, Massachusetts",MA ,29250.0,2012-06-23 18:57:00,2012-06-23 19:28:00
414,Xcel Energy,"Minneapolis/St. Paul, Minnesota",MN ,68200.0,2012-06-19 04:30:00,2012-06-20 23:00:00
415,California Department of Water Resources,CAISO Territory California,CA CA CA ,,2012-06-19 05:30:00,2012-06-21 05:30:00
416,Public Service Company of New Mexico,"San Juan County, New Mexico",NM ,0.0,2012-06-13 16:55:00,2012-06-13 22:09:00
417,CenterPoint Energy,"Houston, Texas",TX TX ,175000.0,2012-06-12 15:57:00,2012-06-14 04:57:00
418,Southern Company,North/Central Alabama; North/Central Georgia,AL GA ,110591.0,2012-06-11 19:50:00,2012-06-12 15:00:00
419,Public Service Company of Colorado,"Denver Metro Area, Colorado",CO ,30379.0,2012-06-08 17:20:00,2012-06-08 17:25:00
420,Potomac Electric Power Company (PEPCO),"Columbia Heights, NW, Washington DC",WA ,0.0,2012-06-06 12:37:00,2012-06-06 12:37:00
421,New York Power Authority,"Delhi, New York",NY ,,2012-06-06 08:00:00,2012-06-06 08:00:00
422,Pacific Gas and Electric Company,"San Francisco, California",CA CA ,,2012-06-02 07:30:00,2012-06-02 11:35:00
423,American Electric Power (AEP),"Columbus, Ohio",OH ,0.0,2012-05-31 23:45:00,2012-06-01 04:30:00
424,Tacoma Power (TPWR),"Alder Dam, Pierce County, Washington",WA ,,2012-05-29 18:30:00,2012-05-29 19:40:00
425,Oklahoma Gas & Electric,"Oklahoma City Metro Area, Oklahoma",OK ,112000.0,2012-05-29 20:35:00,2012-05-31 10:00:00
426,ISO New England,"Tyngsborough, Massachusetts",MA ,,2012-05-24 15:20:00,2012-05-25 17:29:00
427,Tacoma Power (TPWR),"Lakewood, Washington",WA ,,2012-05-11 11:05:00,2012-05-11 11:20:00
428,American Electric Power (AEP),Eastern Ohio,OH ,1.0,2012-05-07 17:45:00,2012-05-07 18:06:00
429,ISO New England,"Williston, Vermont",VT ,0.0,2012-05-07 12:50:00,2012-05-07 14:00:00
430,Seattle City Light,"Snohomish County, Washington",WA ,,2012-04-23 11:56:00,2012-04-23 15:35:00
431,Northern Indiana Public Service Company (NIPSCO),Northwest Indiana,IN ,,2012-04-23 08:11:00,2012-04-23 12:47:00
432,ISO New England,"East Bridgewater, Massachusetts",MA ,,2012-04-21 15:02:00,2012-04-21 20:09:00
433,Tacoma Power (TPWR),"Tacoma, Washington",WA ,,2012-04-21 20:55:00,2012-04-23 16:30:00
434,CenterPoint Energy,"Metropolitan Houston, Texas",TX TX ,120377.0,2012-04-20 14:27:00,2012-04-21 04:27:00
435,Tacoma Power (TPWR),"Tacoma, Washington",WA ,,2012-04-19 07:53:00,2012-04-19 16:00:00
436,San Diego Gas & Electric Company,"San Diego County, California",CA CA ,0.0,2012-04-17 06:11:00,2012-04-17 17:48:00
437,"Detroit Edison, Subsidiary of DTE Energy","Southeast, Michigan",MI MI ,111393.0,2012-04-16 15:46:00,2012-04-19 02:00:00
438,Southern Company,Georgia,GA ,,2012-04-15 19:38:00,2012-04-15 21:26:00
439,Tacoma Power (TPWR),"Tacoma, Washington",WA ,,2012-04-12 08:08:00,2012-04-12 16:30:00
440,North Attleborough Electric Department,"North Attleboro, Massachusetts",MA ,0.0,2012-04-11 09:00:00,2012-04-11 09:00:00
441,Delmarva Power & Light Company,"Newark, Delaware",DE ,0.0,2012-04-07 14:35:00,2012-04-07 14:36:00
442,Delmarva Power & Light Company,"Newark, Delaware",DE ,0.0,2012-04-07 12:25:00,2012-04-07 12:26:00
443,Delmarva Power & Light Company,"Newark, Delaware",DE ,0.0,2012-04-07 09:31:00,2012-04-07 09:32:00
444,Western Area Power Authority - Sierra Nevada Region (WASN),"WAPA-SNR Regional Office, California",CA PA WA ,,2012-04-04 15:32:00,2012-04-06 15:30:00
445,Seattle City Light,"Seattle, Washington",WA ,0.0,2012-04-03 15:33:00,2012-04-03 20:25:00
446,ISO New England,"West Rutland, Vermont",VT ,0.0,2012-04-03 11:10:00,2012-04-03 11:25:00
447,Mid American Energy Company,"Council Bluffs, Iowa",IA ,0.0,2012-04-01 20:27:00,2012-04-03 08:28:00
448,ISO New England,Vermont,VT ,,2012-03-30 11:10:00,2012-03-30 11:30:00
449,Lansing Board of Water & Light,"Lansing, Michigan",MI ,0.0,2012-03-29 12:01:00,2012-03-29 12:02:00
450,Tacoma Power (TPWR),"Graham, Washington",WA ,,2012-03-28 10:17:00,2012-03-28 10:17:00
451,Tacoma Power (TPWR),"Tacoma, Washington",WA ,,2012-03-26 13:24:00,2012-03-26 13:24:00
452,Delmarva Power & Light Company,"Newark, Delaware",DE ,0.0,2012-03-23 19:34:00,2012-03-23 19:34:00
453,CenterPoint Energy,"Houston, Texas",TX TX ,96000.0,2012-03-20 08:00:00,2012-03-20 13:00:00
454,Delmarva Power & Light Company,"New Castle, Delaware",DE ,0.0,2012-03-16 16:00:00,2012-03-16 16:00:00
455,Entergy Corporation,Texas,TX ,,2012-03-04 13:38:00,2012-03-05 11:00:00
456,Potomac Electric Power (Pepco Holdings Inc.),"Prince Georges County, Maryland",MD ,,2012-03-04 01:27:00,2012-03-04 06:58:00
457,Consumers Energy,"Lower Peninsula, Michigan",MI ,140000.0,2012-03-02 21:00:00,2012-03-04 17:30:00
458,"Detroit Edison, Subsidiary of DTE Energy","Southeastern, Michigan",MI MI ,130000.0,2012-03-02 21:00:00,2012-03-05 16:30:00
459,"City of Piggott, Arkansas","Piggott, Arkansas",AR ,,2012-03-02 13:45:00,2012-03-02 15:30:00
460,Tennessee Valley Authority (TVA),Northern Alabama; Southeast Tennessee,AL TN ,,2012-03-02 12:37:00,2012-03-05 12:01:00
461,Coos Curry Electric Cooperative,Coos County Oregon,OR ,,2012-02-28 07:00:00,2012-02-28 07:00:00
462,Pacific Gas and Electric,"Sacramento, California",CA CA ,1.0,2012-02-28 02:59:00,2012-02-28 06:12:00
463,Tacoma Power (TPWR),"Spanaway, Washington",WA ,,2012-02-24 11:24:00,2012-02-24 11:49:00
464,City of College Station,"South East College Station, Texas",TX ,0.0,2012-02-23 05:45:00,2012-02-23 15:02:00
465,ISO New England,"Londonderry, New Hampshire",NH ,0.0,2012-02-23 23:12:00,2012-02-24 01:00:00
466,American Electric Power,"Kentucky, Virginia, West Virginia",KY VA WV ,90000.0,2012-02-19 17:00:00,2012-02-21 07:33:00
467,"Entergy Services, Inc","Little Rock, Arkansas",AR ,,2012-02-17 03:00:00,2012-02-17 11:33:00
468,Puget Sound Energy,"Port Orchard, Washington",WA WA ,0.0,2012-02-15 05:33:00,2012-02-15 17:30:00
469,Tacoma Power (TPWR),"Tacoma, Washington",WA ,,2012-02-14 19:20:00,2012-02-15 16:00:00
470,Progress Energy Carolinas,"Asheville, North Carolina",NC ,,2012-02-13 07:02:00,2012-02-13 16:25:00
471,Xcel Energy (Public Service Company of Colorado),"Lamar, Colorado",CO ,0.0,2012-02-11 08:47:00,2012-02-11 10:30:00
472,Tacoma Power (TPWR),"Tacoma, Washington",WA ,,2012-02-11 08:55:00,2012-02-11 08:55:00
473,Tacoma Power (TPWR),"Roosevelt Substation, Tacoma, Washington",WA ,,2012-01-29 12:45:00,2012-01-29 12:45:00
474,Tacoma Power (TPWR),"Frederickson Substation, Spanaway, Washington",WA ,,2012-01-27 09:40:00,2012-01-27 09:40:00
475,Tacoma Power (TPWR),"Tacoma, Washington",WA ,,2012-01-24 11:22:00,2012-01-24 11:22:00
476,Puget Sound Energy,"King, Pierce and Thurston Counties, Washington",WA WA ,426000.0,2012-01-19 07:00:00,2012-01-20 15:00:00
477,"Pedernales Electric Cooperative, Inc.","Austin, Texas",TX ,0.0,2012-01-17 10:31:00,2012-01-17 17:21:00
478,Tacoma Power (TPWR),"Tacoma, Washington",WA ,,2012-01-15 09:35:00,2012-01-15 09:35:00
479,Delmarva Power & Light Company,"Newark, Delaware",DE ,0.0,2012-01-13 09:20:00,2012-01-13 09:20:00
480,Delmarva Power & Light Company,"Newark, Delaware",DE ,0.0,2012-01-12 08:26:00,2012-01-12 08:26:00
481,Nevada Power Company (NV Energy),Nevada,NV ,0.0,2012-01-11 07:19:00,2012-01-11 09:07:00
482,Luminant Energy Company LLC,"Rusk County, Texas",TX ,,2012-01-10 21:30:00,2012-01-10 21:30:00
483,ISO New England/Convex,"Watertown, Connecticut",CT ,,2012-01-09 14:30:00,2012-01-09 15:30:00
484,The Dow Chemical Company,Louisiana,LA ,1.0,2012-01-09 13:36:00,2012-01-11 01:05:00
485,American Electric Power,"CSWS/AEP West territory, Oklahoma",OK ,0.0,2012-01-05 10:35:00,2012-01-05 12:25:00
486,Oklahoma Gas and Electric,"Creek County, Oklahoma",OK ,,2012-01-05 10:28:00,2012-01-05 12:25:00
487,Tacoma Power (TPWR),"Tacoma, Washington",WA ,,2012-01-04 12:14:00,2012-01-04 12:14:00
488,City of Tacoma (TPWR),"Tacoma, Washington",WA ,,2011-12-31 21:26:00,2011-12-31 21:26:00
489,Idaho Power Company,"Boise, Idaho",ID ,0.0,2011-12-21 10:30:00,2011-12-21 10:30:00
490,City of Tacoma (TPWR),"Tacoma, Washington",WA ,,2011-12-20 09:30:00,2011-12-20 09:31:00
491,PacifiCorp,"Sweet Home, Oregon",OR ,2500.0,2011-12-20 07:45:00,2011-12-20 08:45:00
492,City of Tacoma (TPWR),"Croft Substation, Tacoma, Washington",WA ,,2011-12-19 08:48:00,2011-12-19 16:00:00
493,Dayton Power & Light,Clinton County Ohio,OH ,0.0,2011-12-13 03:19:00,2011-12-14 03:19:00
494,City of Tacoma (TPWR),"Tacoma, Washington",WA ,,2011-12-08 08:45:00,2011-12-08 16:30:00
495,Dominion Virginia Power,Central Virginia,VA ,60000.0,2011-12-07 19:29:00,2011-12-07 22:57:00
496,Montana Dakota Utilities,"Bismarck-Mandan, North Dakota",ND ,34500.0,2011-12-06 08:00:00,2011-12-06 20:00:00
497,ITC Holdings,"Montague, Michigan",MI ,0.0,2011-12-06 17:38:00,2011-12-07 11:04:00
498,City of Tacoma (TPWR),"Tacoma, Washington",WA ,,2011-12-05 14:00:00,2011-12-06 17:00:00
499,Luminant Energy Company LLC,Rusk County Texas,TX ,,2011-12-02 16:15:00,2011-12-02 20:30:00
500,Southern California Edison (SCE),Southern California,CA CA ,91690.0,2011-12-01 00:45:00,2011-12-07 21:00:00
501,PacifiCorp,Wasatch Front Area Utah,UT ,60000.0,2011-12-01 10:00:00,2011-12-02 13:11:00
502,Pacific Gas and Electric,Northern California,CA ,100000.0,2011-12-01 03:29:00,2011-12-02 13:05:00
503,City of Tacoma - TPWR,"Orchard Substation, Washington",WA ,0.0,2011-11-30 10:00:00,2011-11-30 11:00:00
504,Los Angeles Department of Water and Power,"City of Los Angeles, California",CA CA ,150000.0,2011-11-30 16:56:00,2011-12-02 10:00:00
505,Northern Indiana Public Service Co,Indiana,IN ,0.0,2011-11-22 23:16:00,2011-11-22 23:16:00
506,Atlantic City Electric,"McKee, New Jersey",NJ ,0.0,2011-11-14 14:24:00,2011-11-14 14:24:00
507,ISO New England / obo Public Service of New Hampshire,"Cate Road, Deerfield, New Hampshire",NH ,0.0,2011-11-13 11:30:00,2011-11-13 12:00:00
508,PacifiCorp,"Sweetwater County, Wyoming",WY ,0.0,2011-11-04 10:46:00,2011-11-04 10:46:00
509,PPL Electric Utilities,"Harrisburg, Lehigh Valley, Lancaster Region Pennsylvania",PA ,146721.0,2011-10-29 12:57:00,2011-11-03 23:00:00
510,"Consolidated Edison Company of NY, Inc",New York City area,NY ,50000.0,2011-10-29 16:16:00,2011-11-02 21:30:00
511,"Orange and Rockland Utilities, Inc",New Jersey; New York,NJ NY ,74000.0,2011-10-29 20:00:00,2011-10-31 20:00:00
512,Metropolitan Edison Company,Pennsylvania,PA ,312359.0,2011-10-29 08:59:00,2011-11-07 19:58:00
513,ISO New England,Connecticut; Maine; Massachusetts; New Hampshire; Rhode Island,CT ME MA NH RI ,1418100.0,2011-10-29 16:14:00,2011-11-07 16:00:00
514,Potomac Edison,Pennsylvania,PA ,50000.0,2011-10-29 08:59:00,2011-11-07 15:00:00
515,Exelon Corporation/PECO,Southeast Pennsylvania,PA ,109335.0,2011-10-29 14:00:00,2011-10-31 14:00:00
516,Jersey Central Power & Light Company,Northwest and Central New Jersey,NJ ,379000.0,2011-10-29 09:59:00,2011-11-07 13:00:00
517,Public Service Electric and Gas Company,New Jersey,NJ ,197000.0,2011-10-29 14:30:00,2011-11-06 12:00:00
518,Central Hudson Gas & Electric Corp.,"Mid-Hudson Valley Region, New York",NY ,145000.0,2011-10-29 15:00:00,2011-11-02 08:15:00
519,New York State Elec & Gas Corp,Southeast New York,NY ,161151.0,2011-10-29 11:18:00,2011-11-04 00:00:00
520,Midwest ISO,"Munster, Indiana",IN ,,2011-10-27 01:00:00,2011-10-27 02:36:00
521,Public Service Company of Colorado,"Denver; Ft. Collins, Colorado",CO ,204000.0,2011-10-26 05:00:00,2011-10-27 15:00:00
522,PJM Interconnection,"Holmesburg Substation, Philadelphia, Pennsylvania",PA ,0.0,2011-10-24 23:37:00,2011-10-26 23:00:00
523,Atlantic City Electric,"McKee, New Jersey",NJ ,0.0,2011-10-20 07:15:00,2011-10-20 07:15:00
