Screen Name,Status ID,Text,Local Timestamp,Likes,Retweets,State
s_meej,1.4577938702598963e+17,10% power left on iPhone. To lazy to get charger.. #Insomniaitsbeenreal,3:18 AM - 11 Dec 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
caroooolineW,1.4306511526311936e+17,@hayl_storm hahahah that's so cute,3:32 PM - 3 Dec 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
GetPowerplaJobs,1.4234439623758234e+17,"Heavy Equipment Operator- Hazwoper - #Binghamton , NY (http://tinyurl.com/c5s9mfl ) Get Power Plant Jobs #PowerPlant #jobs #job #GetAllJobs",3:48 PM - 1 Dec 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
topix_ny,1.3993220814733312e+17,Last active power plant prepares to shut down - http://bit.ly/uMyJpU  #Binghamton #NewYork,12:03 AM - 25 Nov 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
GetPowerplaJobs,1.3947215131194982e+17,"Heavy Equipment Operator- Hazwoper - #Binghamton , NY (http://tinyurl.com/c5ln6ef ) Get Power Plant Jobs #PowerPlant #jobs #job #GetAllJobs",5:35 PM - 23 Nov 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
GetPowerplaJobs,1.3911544227812147e+17,"Heavy Equipment Operator - #Binghamton , NY (http://tinyurl.com/8y7pky2 ) Get Power Plant Jobs #PowerPlant #jobs #job #GetAllJobs",5:58 PM - 22 Nov 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
hogankevin,1.3395955839678874e+17,My 1 & only PSU tweet. Of course admin & JoePa were wrong. Ya know who is benefiting from the media storm? Sandusky.,12:30 PM - 8 Nov 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
pcmofo,1.3214331700473037e+17,"Reset my iPhone and re-calibrated the battery. iPhone 4S still sucking power. 53% at 1pm. 3hr use, 6hr standby.",12:13 PM - 3 Nov 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
tehsoulman1,1.3103848354757018e+17,The red power ranger is in my class I feel so much safer now,11:03 AM - 31 Oct 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
topix_ny,1.3051969563067597e+17,Nor'easter knocks out power for 2.3 million; Binghamton dodges most of storm - http://bit.ly/tvrQOu  #Binghamton #NewYork,12:41 AM - 30 Oct 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
topix_ny,1.3051965144787354e+17,Nor'easter knocks out power for 2.3 million; Binghamton dodges most of storm - http://bit.ly/sd39gH  #Binghamton #NewYork,12:41 AM - 30 Oct 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
topix_ny,1.2745637837262848e+17,Price Chopper to Offer Free Flu Vaccine Shots for Storm Victims in Five States - http://bit.ly/p6KV26  #ChenangoBridge #NewYork,1:49 PM - 21 Oct 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
lukefuller,1.2602609641102131e+17,"Keep losing power for 10 seconds at a time on upper front street, Binghamton, NY",3:05 PM - 17 Oct 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
CollegeHumor,1.0813144071693436e+18,Fantasy High: Like if the Breakfast Club and a goblin had a terrifying baby.,5:20 PM - 4 Jan 2019,"Like
    
      
    1
  
  
    
      
      
      Liked
    
      
    1","Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",MA
ahoyyKT,1.256923063502848e+17,"“@HannnnaD: ""Ugh water's no fun"" @melissaliciousx love our Sunday power hourrrrrrr” out of control.",4:59 PM - 16 Oct 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
danielleallennn,1.1878219663397274e+17,hello mr. crazy storm cloud..,3:20 PM - 27 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
traciNJ,1.1700625893399347e+17,A storm is coming!  @ Moe's Southwest Grill http://instagr.am/p/N2U_y/,5:44 PM - 22 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
traciNJ,1.170057484159058e+17,A storm is coming!  @ Moe's Southwest Grill http://instagr.am/p/N2UMT/,5:41 PM - 22 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
511nyBinghamton,1.1614208161703526e+17,"Downed power lines, reduced to one lane on US 11 south from Town of Triangle; Town of Barker Line to East Main St; NY...http://bit.ly/7dFGS5",8:30 AM - 20 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",MA
511NY,1.1614207946535731e+17,"Downed power lines, reduced to one lane on US 11 south from Town of Triangle; Town of Barker Line to East Main St; NY...http://bit.ly/5Xuc69",8:30 AM - 20 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
511nyBinghamton,1.1518703464101069e+17,"Ex ramp closed on NY 17 east at ex 68 - Pearl St; Ramp due to storm damage until 6:00PM, 09/23/11.",5:15 PM - 17 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",MA
