Screen Name,Status ID,Text,Local Timestamp,Likes,Retweets,State
13904,8.595546181115494e+16,"Another Stormy Night in the Southern Tier, Many Without Power http://bit.ly/lcZX1z via http://outside.in/13904",1:19 AM - 29 Jun 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",ME
13903,8.595545988596531e+16,"Another Stormy Night in the Southern Tier, Many Without Power http://bit.ly/mlih6v via http://outside.in/13903",1:19 AM - 29 Jun 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",ME
13901,8.595545931553587e+16,"Another Stormy Night in the Southern Tier, Many Without Power http://bit.ly/lBPRWM via http://outside.in/13901",1:19 AM - 29 Jun 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",ME
13850,8.595545760007782e+16,"Another Stormy Night in the Southern Tier, Many Without Power http://bit.ly/kDxUNC via http://outside.in/13850",1:19 AM - 29 Jun 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",ME
13790,8.595545424881664e+16,"Another Stormy Night in the Southern Tier, Many Without Power http://bit.ly/iKnnWL via http://outside.in/13790",1:19 AM - 29 Jun 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",ME
511NY,8.401412653960397e+16,"Closed, storm damage on NY 206 in both directions from Broome-Chenango Cnty Line to NY 12 until 12:00AM, 06/24/11.  Rd washed out.",4:45 PM - 23 Jun 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",ME
13904,8.377996596281344e+16,B-Mets storm back in 6th for win http://bit.ly/lFWWae via http://outside.in/13904,1:14 AM - 23 Jun 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",ME
13905,8.377995872345702e+16,B-Mets storm back in 6th for win http://bit.ly/jgIcNU via http://outside.in/13905,1:14 AM - 23 Jun 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",ME
13903,8.377995572033946e+16,B-Mets storm back in 6th for win http://bit.ly/kn35KI via http://outside.in/13903,1:14 AM - 23 Jun 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",ME
13901,8.377995258300006e+16,B-Mets storm back in 6th for win http://bit.ly/lMbabR via http://outside.in/13901,1:14 AM - 23 Jun 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",ME
